f1,f2,f3,f4,f5,f6,f7,f8,f9,resp
  0.12898577,  0.11760483,  0.11795225,  0.13431824,  0.14272292,  0.10893976,  0.12236273,  0.12944888,  0.14799362, -0.00010248
  0.16746637,  0.14869860,  0.17879706,  0.18420610,  0.18853532,  0.15960011,  0.16335398,  0.20152977,  0.20637339,  0.00004888
  0.21506917,  0.18034860,  0.18457411,  0.20557647,  0.25669565,  0.15905066,  0.17698338,  0.20977224,  0.24071658, -0.00109465
  0.35505450,  0.28373737,  0.30100690,  0.32184134,  0.52238744,  0.26317064,  0.27676099,  0.37796180,  0.41767954, -0.00559637
  0.20516027,  0.18605046,  0.19033639,  0.21500355,  0.23428778,  0.17645003,  0.18923044,  0.21007940,  0.24175051, -0.00139112
  0.30856845,  0.27615353,  0.27781420,  0.29725721,  0.43583012,  0.24150010,  0.26415215,  0.37187052,  0.39749878, -0.00702384
  0.32599593,  0.29678161,  0.31178076,  0.31993980,  0.45011266,  0.29616405,  0.33402622,  0.37697213,  0.39927874, -0.00490319
  0.11839453,  0.10724769,  0.11220235,  0.12061919,  0.12228851,  0.10188616,  0.11081158,  0.11503208,  0.12569532,  0.00021183
  0.14347630,  0.13761382,  0.14556380,  0.15283981,  0.16344385,  0.13769246,  0.15714919,  0.15714939,  0.17462381,  0.00011501
  0.19404420,  0.16406455,  0.17394565,  0.20408842,  0.20436482,  0.14991829,  0.17091446,  0.18119152,  0.20799192, -0.00078772
  0.28186013,  0.27268516,  0.30789059,  0.30918142,  0.34045323,  0.29581012,  0.31354587,  0.31827125,  0.40755260, -0.00051859
  0.23259335,  0.19346341,  0.22437885,  0.22859071,  0.26684798,  0.19089638,  0.21479813,  0.22035149,  0.24971769, -0.00212347
  0.21881575,  0.18511124,  0.20615751,  0.24349645,  0.24640562,  0.17834468,  0.20017864,  0.22888088,  0.26536032, -0.00172973
  0.09665770,  0.08896128,  0.09071080,  0.10041811,  0.10147004,  0.08401531,  0.09323467,  0.09390954,  0.10632957,  0.00009123
  0.12073095,  0.11144720,  0.11976726,  0.13062702,  0.13579864,  0.11155345,  0.12379927,  0.12988875,  0.14784232,  0.00005569
  0.13458365,  0.12021931,  0.12494340,  0.13558327,  0.14198088,  0.11213920,  0.12581603,  0.12641154,  0.14067189, -0.00020428
  0.36154610,  0.30912971,  0.30923907,  0.31247559,  0.53957194,  0.25762931,  0.28464167,  0.41246672,  0.41878783, -0.00693460
  0.13615123,  0.13075191,  0.13454905,  0.13611087,  0.14868396,  0.13060351,  0.13256922,  0.14054622,  0.14812344, -0.00036615
  0.14132148,  0.13626128,  0.13784937,  0.14567945,  0.14962133,  0.13110169,  0.14027122,  0.14668781,  0.15162483, -0.00036279
  0.36614077,  0.29266679,  0.29689016,  0.35564673,  0.51567630,  0.23977986,  0.29401846,  0.36826485,  0.46863211, -0.00409860
  0.29235765,  0.23605332,  0.25534390,  0.28751421,  0.39762759,  0.21087570,  0.24230054,  0.30191095,  0.36907914, -0.00591913
  0.11768299,  0.10737665,  0.12190617,  0.12561823,  0.12917438,  0.11121455,  0.11662769,  0.12963791,  0.13914317, -0.00005865
  0.15090907,  0.13217850,  0.13657010,  0.14381404,  0.15582640,  0.12111216,  0.12650213,  0.13900411,  0.14959989,  0.00026218
  0.17507524,  0.15851443,  0.16690955,  0.17480354,  0.20941733,  0.15051913,  0.16415472,  0.18520233,  0.20980736, -0.00089551
  0.33162436,  0.26162327,  0.36252598,  0.36290527,  0.36791813,  0.27212121,  0.29050378,  0.36500480,  0.39556602, -0.00492094
  0.16308180,  0.16366328,  0.16803210,  0.18690771,  0.18813886,  0.17270101,  0.18421580,  0.19281680,  0.22223156,  0.00094293
  0.15104843,  0.13251626,  0.15867759,  0.16056475,  0.16222974,  0.13815832,  0.14181060,  0.16586212,  0.17616641, -0.00012818
  0.19951299,  0.18348129,  0.21188488,  0.22916201,  0.24349070,  0.19743960,  0.20351366,  0.25862508,  0.28779157,  0.00071215
  0.16905719,  0.14885387,  0.16120941,  0.18299892,  0.18765064,  0.15877716,  0.16447190,  0.17317895,  0.17729242, -0.00106825
  0.27546434,  0.21866402,  0.23546559,  0.29989899,  0.34016949,  0.19227216,  0.24869312,  0.25898658,  0.39074131,  0.00090649
  0.36036101,  0.29039108,  0.33161161,  0.35377242,  0.52198850,  0.28025280,  0.36323073,  0.39470231,  0.42469842, -0.00440944
  0.14350748,  0.13557816,  0.14807521,  0.15547588,  0.15694101,  0.13802415,  0.14735790,  0.16262894,  0.16848033, -0.00018229
  0.17775452,  0.17338186,  0.17752555,  0.18280650,  0.20728740,  0.17814109,  0.18790585,  0.19962427,  0.20306754, -0.00044182
  0.31839711,  0.25879830,  0.29630446,  0.29657925,  0.45026325,  0.23651241,  0.29005744,  0.34215887,  0.40076707, -0.00543261
  0.18668513,  0.16933278,  0.17020839,  0.19887947,  0.21863214,  0.15375265,  0.17736490,  0.19671246,  0.22916201, -0.00110205
  0.34754708,  0.27017359,  0.29861122,  0.30988131,  0.51769025,  0.23728012,  0.28994155,  0.35820904,  0.43696038, -0.00443939
  0.19799455,  0.17281084,  0.18533077,  0.20160225,  0.23752636,  0.17406340,  0.18744413,  0.20297216,  0.22032954, -0.00174291
  0.15042681,  0.13133848,  0.14410748,  0.14697144,  0.15560833,  0.12673579,  0.12884448,  0.15083712,  0.15342315,  0.00047568
  0.17001887,  0.15543644,  0.16848632,  0.17201235,  0.20009569,  0.15409491,  0.16027719,  0.19589813,  0.20466166,  0.00010252
  0.22066667,  0.18988191,  0.20048939,  0.21337876,  0.26523707,  0.17702775,  0.18119599,  0.23747475,  0.24567357, -0.00178768
  0.16788050,  0.15251542,  0.16538326,  0.17451157,  0.19606298,  0.15166477,  0.16770760,  0.17363387,  0.20548615, -0.00067662
  0.34560102,  0.26410520,  0.31604614,  0.32097474,  0.49704507,  0.24352533,  0.30437629,  0.34834746,  0.41488061, -0.00718552
  0.21559335,  0.18657430,  0.19557156,  0.23466940,  0.26876670,  0.17157936,  0.20464922,  0.22330889,  0.29315558, -0.00157935
  0.32985164,  0.28610813,  0.28895821,  0.31676354,  0.47154597,  0.25155499,  0.26403609,  0.39618333,  0.41775963, -0.00758389
  0.21460462,  0.19070049,  0.19534379,  0.19749852,  0.23776458,  0.17401518,  0.18592437,  0.20657939,  0.21118111, -0.00056886
  0.13592115,  0.12433753,  0.12440621,  0.14537187,  0.15287392,  0.11482796,  0.13107060,  0.13838289,  0.16307856, -0.00029129
  0.18457820,  0.15958363,  0.19188028,  0.20625748,  0.21353582,  0.16486461,  0.18044516,  0.21042327,  0.24363735, -0.00038381
  0.19511091,  0.16633018,  0.17509268,  0.18584473,  0.23558452,  0.15159644,  0.16749010,  0.19515622,  0.21967362, -0.00122696
  0.32117339,  0.26257484,  0.26777913,  0.28089004,  0.45975194,  0.23605728,  0.23945517,  0.34409194,  0.35567380, -0.00700293
  0.19553156,  0.18653797,  0.18942587,  0.18976528,  0.22544432,  0.17733257,  0.18612553,  0.21300234,  0.21375135, -0.00113168
  0.37652304,  0.28338623,  0.33241675,  0.33540806,  0.58316213,  0.26194351,  0.29448723,  0.38842343,  0.45979569, -0.00556981
  0.32582279,  0.27385751,  0.30767924,  0.30831178,  0.46447875,  0.26735101,  0.31260687,  0.35701076,  0.41052622, -0.00554643
  0.13062746,  0.11709233,  0.12267565,  0.13009193,  0.13832252,  0.11074021,  0.11735109,  0.13075917,  0.13819605,  0.00025147
  0.16671182,  0.15924254,  0.16263667,  0.16973404,  0.19746194,  0.15705866,  0.16880025,  0.18591055,  0.20042173, -0.00010832
  0.19022068,  0.16137640,  0.16883199,  0.18974716,  0.20180657,  0.14626185,  0.16064407,  0.17837671,  0.19460962, -0.00042922
  0.27758293,  0.22722460,  0.30712144,  0.31395824,  0.31976966,  0.24875084,  0.25519090,  0.32351623,  0.38648657, -0.00082835
  0.25169441,  0.20748941,  0.23324665,  0.25148344,  0.27312822,  0.20677892,  0.22738725,  0.23255749,  0.24043814, -0.00157625
  0.26547247,  0.21549973,  0.21811093,  0.29908233,  0.30987689,  0.18307712,  0.23357473,  0.24476155,  0.32956487, -0.00351087
  0.10360197,  0.09486240,  0.09546214,  0.10730095,  0.11102117,  0.08801982,  0.09906201,  0.10096761,  0.11595273,  0.00009870
  0.13569257,  0.12129422,  0.13778119,  0.14556643,  0.15166406,  0.12357371,  0.13389808,  0.15027335,  0.16261625,  0.00006058
  0.12949793,  0.11637627,  0.11717726,  0.13341340,  0.13387313,  0.10608440,  0.11976425,  0.12054976,  0.13599100, -0.00014607
  0.36964341,  0.28693606,  0.31149019,  0.31957366,  0.55119226,  0.25472353,  0.27554487,  0.39229563,  0.40678319, -0.00626561
  0.14361917,  0.13175196,  0.14055790,  0.14334638,  0.15406054,  0.13323401,  0.13867598,  0.13952974,  0.14922032, -0.00039810
